Week,Campaign,Channel,Category,Season,Spend,Clicks,Impressions,Conversions,ConversionValue,CTR,CPC,ConvRate,CPA,ROAS,Profit,AnalysisStartDate,AnalysisEndDate
2025-12-29/2026-01-04,Demo Campaign 009,Demo Channel 001,Demo Category 005,Winter,207.068891,34,122,0.0,0.0,0.2786885245901639,6.0902615,0.0,0.0,0.0,-207.068891,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 009,Demo Channel 001,Demo Category 015,Winter,138.487861,17,97,0.187158,561.44218314,0.1752577319587628,8.146344764705884,0.011009294117647,739.9515970463459,4.054089499873205,422.95432214,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 006,Demo Channel 001,Demo Category 004,Winter,52.23,6,19,0.0,0.0,0.3157894736842105,8.705,0.0,0.0,0.0,-52.23,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 006,Demo Channel 001,Demo Category 003,Winter,150.038019,23,100,0.25,566.699991252,0.23,6.523392130434782,0.0108695652173913,600.152076,3.7770426124594474,416.66197225200006,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 006,Demo Channel 001,Demo Category 014,Winter,257.040163,64,358,0.0,0.0,0.1787709497206704,4.016252546875,0.0,0.0,0.0,-257.040163,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 006,Demo Channel 001,Demo Category 005,Winter,64.093049,16,99,0.0,0.0,0.1616161616161616,4.0058155625,0.0,0.0,0.0,-64.093049,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 006,Demo Channel 001,Demo Category 015,Winter,227.71,31,195,0.16984,147.7166416,0.1589743589743589,7.345483870967741,0.0054787096774193,1340.732454074423,0.6487051143998946,-79.99335839999998,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 006,Demo Channel 001,Demo Category 001,Winter,22.16,1,2,0.0,0.0,0.5,22.16,0.0,0.0,0.0,-22.16,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 010,Demo Channel 001,Demo Category 003,Winter,7.6,1,7,0.0,0.0,0.1428571428571428,7.6,0.0,0.0,0.0,-7.6,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 010,Demo Channel 001,Demo Category 014,Winter,94.864004,24,89,0.0,0.0,0.2696629213483146,3.952666833333333,0.0,0.0,0.0,-94.864004,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 010,Demo Channel 001,Demo Category 005,Winter,1080.829153,172,1228,2.898716,6350.5184168,0.1400651465798045,6.283890424418606,0.016853,372.8647970342732,5.875598746733656,5269.689263799999,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 010,Demo Channel 001,Demo Category 001,Winter,12.24,2,5,0.0,0.0,0.4,6.12,0.0,0.0,0.0,-12.24,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 003,Demo Channel 001,Demo Category 013,Winter,6986.788046,6188,15575,177.189413,441258.955030765,0.3973033707865168,1.1290866266968325,0.0286343589204912,39.431182302071285,63.15619596953278,434272.166984765,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 003,Demo Channel 001,Demo Category 017,Winter,121.69,70,683,2.0,6519.66,0.1024890190336749,1.7384285714285714,0.0285714285714285,60.845,53.57597173144876,6397.97,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 003,Demo Channel 001,Demo Category 031,Winter,55.04842,29,422,0.0,0.0,0.0687203791469194,1.8982213793103448,0.0,0.0,0.0,-55.04842,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 003,Demo Channel 001,Demo Category 002,Winter,281.336196,188,572,4.11346,9046.564654,0.3286713286713286,1.4964691276595743,0.0218801063829787,68.39405172288049,32.15570830423825,8765.228458,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 013,Demo Channel 001,Demo Category 024,Winter,0.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 013,Demo Channel 001,Demo Category 021,Winter,1.96,1,12,0.0,0.0,0.0833333333333333,1.96,0.0,0.0,0.0,-1.96,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 013,Demo Channel 001,Demo Category 030,Winter,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 013,Demo Channel 001,Demo Category 006,Winter,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 013,Demo Channel 001,Demo Category 032,Winter,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 008,Demo Channel 001,Demo Category 004,Winter,343.043845,86,991,6.518544,14033.8339712,0.0867810292633703,3.9888819186046502,0.0757970232558139,52.6258386842215,40.90973843649636,13690.7901262,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 008,Demo Channel 001,Demo Category 003,Winter,241.306428,53,974,2.0,4519.46,0.0544147843942505,4.552951471698113,0.0377358490566037,120.653214,18.729132238449942,4278.153572,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 008,Demo Channel 001,Demo Category 005,Winter,320.425943,65,1184,0.0,0.0,0.0548986486486486,4.929629892307692,0.0,0.0,0.0,-320.425943,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 008,Demo Channel 001,Demo Category 015,Winter,978.85919,203,3385,1.0,2539.84,0.059970457902511,4.821966453201971,0.0049261083743842,978.85919,2.594693931412137,1560.98081,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 008,Demo Channel 001,Demo Category 001,Winter,139.343892,30,229,1.0,499.9,0.131004366812227,4.644796400000001,0.0333333333333333,139.343892,3.587527180595759,360.556108,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 002,Demo Channel 001,Demo Category 023,Winter,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 002,Demo Channel 001,Demo Category 004,Winter,236.449426,38,279,2.0,2133.6,0.1362007168458781,6.222353315789474,0.0526315789473684,118.224713,9.023494098057146,1897.150574,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 002,Demo Channel 001,Demo Category 003,Winter,4.41,1,3,0.0,0.0,0.3333333333333333,4.41,0.0,0.0,0.0,-4.41,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 002,Demo Channel 001,Demo Category 005,Winter,4.61,1,14,0.0,0.0,0.0714285714285714,4.61,0.0,0.0,0.0,-4.61,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 002,Demo Channel 001,Demo Category 001,Winter,756.248201,131,787,2.864826,5471.1103948,0.1664548919949174,5.772887030534351,0.0218689007633587,263.9770097730194,7.234543351726929,4714.8621938,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 015,Demo Channel 001,Demo Category 016,Winter,832.287734,65,519,4.127198,5452.3666284,0.1252408477842004,12.804426676923075,0.0634953538461538,201.65926955769996,6.551059694458984,4620.0788944,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 015,Demo Channel 001,Demo Category 008,Winter,166.08310600000002,14,314,0.0,0.0,0.0445859872611464,11.863079,0.0,0.0,0.0,-166.08310600000002,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 005,Demo Channel 001,Demo Category 004,Winter,41.400000000000006,13,266,0.0,0.0,0.0488721804511278,3.184615384615385,0.0,0.0,0.0,-41.400000000000006,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 005,Demo Channel 001,Demo Category 003,Winter,1.31,1,31,0.0,0.0,0.032258064516129,1.31,0.0,0.0,0.0,-1.31,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 005,Demo Channel 001,Demo Category 014,Winter,23.21,6,184,0.0,0.0,0.0326086956521739,3.8683333333333336,0.0,0.0,0.0,-23.21,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 005,Demo Channel 001,Demo Category 005,Winter,3.65,1,14,0.0,0.0,0.0714285714285714,3.65,0.0,0.0,0.0,-3.65,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 005,Demo Channel 001,Demo Category 015,Winter,31.29,5,163,1.0,1829.82,0.0306748466257668,6.258,0.2,31.29,58.47938638542665,1798.53,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 005,Demo Channel 001,Demo Category 001,Winter,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 011,Demo Channel 001,Demo Category 004,Winter,3.61,2,6,0.0,0.0,0.3333333333333333,1.805,0.0,0.0,0.0,-3.61,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 004,Demo Channel 001,Demo Category 004,Winter,84.71668700000001,12,258,0.0,0.0,0.0465116279069767,7.059723916666667,0.0,0.0,0.0,-84.71668700000001,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 004,Demo Channel 001,Demo Category 003,Winter,238.98,38,768,0.0,0.0,0.0494791666666666,6.288947368421052,0.0,0.0,0.0,-238.98,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 004,Demo Channel 001,Demo Category 005,Winter,222.212579,37,723,0.0,0.0,0.0511756569847856,6.0057453783783785,0.0,0.0,0.0,-222.212579,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 004,Demo Channel 001,Demo Category 015,Winter,341.486361,45,1424,0.0,0.0,0.0316011235955056,7.5885858,0.0,0.0,0.0,-341.486361,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 004,Demo Channel 001,Demo Category 001,Winter,0.0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 016,Demo Channel 001,Demo Category 018,Winter,6.068824,5,69,0.0,0.0,0.072463768115942,1.2137648,0.0,0.0,0.0,-6.068824,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 016,Demo Channel 001,Demo Category 027,Winter,0.0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 016,Demo Channel 001,Demo Category 009,Winter,0.0,0,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 017,Demo Channel 002,Demo Category 010,Winter,865.433436,606,81391,0.0,0.0,0.0074455406617439,1.42810798019802,0.0,0.0,0.0,-865.433436,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 018,Demo Channel 002,Demo Category 011,Winter,830.777552,894,56424,0.0,0.0,0.0158443215652913,0.9292813780760628,0.0,0.0,0.0,-830.777552,2026-01-01,2026-01-31
2025-12-29/2026-01-04,Demo Campaign 019,Demo Channel 002,Demo Category 012,Winter,884.422828,340,9851,0.0,0.0,0.0345142625114201,2.6012436117647058,0.0,0.0,0.0,-884.422828,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 020,Demo Channel 003,Demo Category 010,Winter,440.415896,53,19798,0.0,0.0,0.002677038084655,8.309733886792452,0.0,0.0,0.0,-440.415896,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 020,Demo Channel 003,Demo Category 012,Winter,790.7610999999999,97,38876,0.0,0.0,0.0024951126659121,8.152176288659794,0.0,0.0,0.0,-790.7610999999999,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 007,Demo Channel 001,Demo Category 004,Winter,594.976291,135,504,0.0,0.0,0.2678571428571428,4.407231785185185,0.0,0.0,0.0,-594.976291,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 007,Demo Channel 001,Demo Category 003,Winter,826.307709,185,563,3.872802,6127.96333277,0.3285968028419183,4.466528156756757,0.0209340648648648,213.36172337238,7.416079102282707,5301.655623770001,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 007,Demo Channel 001,Demo Category 014,Winter,5596.192505,1340,5450,25.085075,58549.808763582,0.2458715596330275,4.176263063432836,0.0187202052238806,223.08852993263923,10.462436506833855,52953.616258582,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 007,Demo Channel 001,Demo Category 005,Winter,962.926242,204,756,2.0,6279.66,0.2698412698412698,4.720226676470588,0.0098039215686274,481.463121,6.521434068467312,5316.733758,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 007,Demo Channel 001,Demo Category 015,Winter,2102.206968,358,1746,6.898716,18485.06887881,0.2050400916380297,5.872086502793296,0.019270156424581,304.72438175451776,8.793172680041275,16382.86191081,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 001,Demo Channel 001,Demo Category 004,Winter,38.616612,16,43,0.0,0.0,0.3720930232558139,2.41353825,0.0,0.0,0.0,-38.616612,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 001,Demo Channel 001,Demo Category 003,Winter,104.801333,39,93,0.0,0.0,0.4193548387096774,2.6872136666666666,0.0,0.0,0.0,-104.801333,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 001,Demo Channel 001,Demo Category 005,Winter,10.96,4,14,0.0,0.0,0.2857142857142857,2.74,0.0,0.0,0.0,-10.96,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 001,Demo Channel 001,Demo Category 001,Winter,1114.577549,403,1061,6.0,10130.26,0.3798303487276154,2.765701114143921,0.0148883374689826,185.76292483333336,9.088878570260883,9015.682451,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 014,Demo Channel 001,Demo Category 023,Winter,424.221341,83,750,0.0,0.0,0.1106666666666666,5.111100493975903,0.0,0.0,0.0,-424.221341,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 014,Demo Channel 001,Demo Category 007,Winter,450.657564,99,684,0.0,0.0,0.1447368421052631,4.552096606060606,0.0,0.0,0.0,-450.657564,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 012,Demo Channel 001,Demo Category 004,Winter,10.08,2,8,0.0,0.0,0.25,5.04,0.0,0.0,0.0,-10.08,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 012,Demo Channel 001,Demo Category 003,Winter,37.140836,10,56,0.0,0.0,0.1785714285714285,3.7140836,0.0,0.0,0.0,-37.140836,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 012,Demo Channel 001,Demo Category 014,Winter,356.61834,49,224,0.0,0.0,0.21875,7.277925306122449,0.0,0.0,0.0,-356.61834,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 012,Demo Channel 001,Demo Category 005,Winter,69.204145,16,74,0.0,0.0,0.2162162162162162,4.3252590625,0.0,0.0,0.0,-69.204145,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 012,Demo Channel 001,Demo Category 015,Winter,234.211842,17,99,1.0,1899.9,0.1717171717171717,13.77716717647059,0.0588235294117647,234.211842,8.11188701551649,1665.6881580000002,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 009,Demo Channel 001,Demo Category 014,Winter,831.399703,75,522,0.0,0.0,0.1436781609195402,11.085329373333334,0.0,0.0,0.0,-831.399703,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 009,Demo Channel 001,Demo Category 005,Winter,449.49098,42,194,0.0,0.0,0.2164948453608247,10.702166190476191,0.0,0.0,0.0,-449.49098,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 009,Demo Channel 001,Demo Category 015,Winter,355.68496,36,300,0.0,0.0,0.12,9.880137777777778,0.0,0.0,0.0,-355.68496,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 006,Demo Channel 001,Demo Category 004,Winter,159.04,6,46,0.0,0.0,0.1304347826086956,26.506666666666664,0.0,0.0,0.0,-159.04,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 006,Demo Channel 001,Demo Category 003,Winter,447.644689,65,321,0.238846,351.06301618,0.2024922118380062,6.88684136923077,0.0036745538461538,1874.1979727523176,0.7842447923692444,-96.58167282000004,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 006,Demo Channel 001,Demo Category 014,Winter,635.193762,77,450,0.0,0.0,0.1711111111111111,8.249269636363636,0.0,0.0,0.0,-635.193762,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 006,Demo Channel 001,Demo Category 005,Winter,195.011117,31,154,1.0,3519.84,0.2012987012987013,6.290681193548387,0.032258064516129,195.011117,18.04943253568462,3324.828883,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 006,Demo Channel 001,Demo Category 015,Winter,496.282949,37,250,0.0,0.0,0.148,13.413052675675676,0.0,0.0,0.0,-496.282949,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 006,Demo Channel 001,Demo Category 001,Winter,55.19,3,20,0.0,0.0,0.15,18.396666666666665,0.0,0.0,0.0,-55.19,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 010,Demo Channel 001,Demo Category 003,Winter,2.37,1,6,0.0,0.0,0.1666666666666666,2.37,0.0,0.0,0.0,-2.37,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 010,Demo Channel 001,Demo Category 014,Winter,165.056468,32,124,0.0,0.0,0.2580645161290322,5.158014625,0.0,0.0,0.0,-165.056468,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 010,Demo Channel 001,Demo Category 005,Winter,1150.443282,216,1734,4.0,7979.129999999999,0.1245674740484429,5.326126305555555,0.0185185185185185,287.6108205,6.935700459851092,6828.686717999999,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 010,Demo Channel 001,Demo Category 001,Winter,12.928058,3,6,0.0,0.0,0.5,4.309352666666666,0.0,0.0,0.0,-12.928058,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 003,Demo Channel 001,Demo Category 013,Winter,9713.283609,7597,17942,233.361162,538757.016509022,0.4234199085943596,1.2785683307884692,0.0307175413979202,41.62339408045971,55.46600286743691,529043.732900022,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 003,Demo Channel 001,Demo Category 017,Winter,111.930974,60,751,0.0,0.0,0.0798934753661784,1.8655162333333333,0.0,0.0,0.0,-111.930974,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 003,Demo Channel 001,Demo Category 031,Winter,48.673305,25,401,0.0,0.0,0.0623441396508728,1.9469322,0.0,0.0,0.0,-48.673305,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 003,Demo Channel 001,Demo Category 002,Winter,412.728008,254,809,7.0,15345.34,0.3139678615574783,1.6249134173228346,0.0275590551181102,58.961144,37.18027297047406,14932.611992,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 013,Demo Channel 001,Demo Category 024,Winter,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 013,Demo Channel 001,Demo Category 021,Winter,0.0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 013,Demo Channel 001,Demo Category 030,Winter,0.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 013,Demo Channel 001,Demo Category 006,Winter,5.850858,3,22,1.0,2431.75,0.1363636363636363,1.950286,0.3333333333333333,5.850858,415.6228026727021,2425.899142,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 008,Demo Channel 001,Demo Category 004,Winter,818.834876,130,1765,2.0,4131.46,0.0736543909348441,6.298729815384616,0.0153846153846153,409.417438,5.045534968151503,3312.625124,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 008,Demo Channel 001,Demo Category 003,Winter,349.108632,62,1132,2.0,3939.6,0.0547703180212014,5.630784387096774,0.032258064516129,174.554316,11.284739587877048,3590.4913680000004,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 008,Demo Channel 001,Demo Category 005,Winter,418.502006,79,1706,0.0,0.0,0.0463071512309495,5.297493746835443,0.0,0.0,0.0,-418.502006,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 008,Demo Channel 001,Demo Category 015,Winter,1064.453801,205,3973,1.0,1269.8,0.0515982884470173,5.192457565853659,0.0048780487804878,1064.453801,1.1929122699426575,205.34619899999984,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 008,Demo Channel 001,Demo Category 001,Winter,635.053449,118,684,0.0,0.0,0.1725146198830409,5.381808889830508,0.0,0.0,0.0,-635.053449,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 002,Demo Channel 001,Demo Category 023,Winter,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 002,Demo Channel 001,Demo Category 004,Winter,292.52966,36,307,0.0,0.0,0.1172638436482084,8.125823888888888,0.0,0.0,0.0,-292.52966,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 002,Demo Channel 001,Demo Category 003,Winter,14.05,3,20,0.0,0.0,0.15,4.683333333333333,0.0,0.0,0.0,-14.05,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 002,Demo Channel 001,Demo Category 005,Winter,10.06,2,16,0.0,0.0,0.125,5.029999999999999,0.0,0.0,0.0,-10.06,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 002,Demo Channel 001,Demo Category 001,Winter,1030.175312,182,936,3.0,8149.39,0.1944444444444444,5.660303912087913,0.0164835164835164,343.3917706666667,7.910682681939479,7119.214688,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 015,Demo Channel 001,Demo Category 016,Winter,961.84522,106,663,0.0,0.0,0.1598793363499245,9.074011509433962,0.0,0.0,0.0,-961.84522,2026-01-01,2026-01-31
2026-01-05/2026-01-11,Demo Campaign 015,Demo Channel 001,Demo Category 008,Winter,149.777201,14,289,0.0,0.0,0.0484429065743944,10.6983715,0.0,0.0,0.0,-149.777201,2026-01-01,2026-01-31
