Category,ProductGroup,Campaign,Spend,Clicks,Impressions,Conversions,ConversionValue,CTR,CPC,ConvRate,CPA,ROAS,Profit,AnalysisStartDate,AnalysisEndDate
Demo Category 015,Çocuk Jenerik,Demo Campaign 004,2552.403786,315,8511,6.0,11879.0,0.0370109270356009,8.102869161904762,0.019047619047619,425.400631,4.654044185781505,9326.596214,2026-01-01,2026-01-31
Demo Category 001,İlk Adım Jenerik,Demo Campaign 008,1748.030635,360,2203,6.0,10941.72,0.1634135270086246,4.855640652777778,0.0166666666666666,291.33843916666666,6.259455515778189,9193.689365000002,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 009,1553.542997,210,779,3.83685,8225.886315,0.269576379974326,7.397823795238096,0.0182707142857142,404.9006338532911,5.2949202763520296,6672.343317999999,2026-01-01,2026-01-31
Demo Category 004,Bebek İlk Adım,Demo Campaign 002,1583.629268,273,2425,6.108696,7728.8419304,0.1125773195876288,5.80083980952381,0.0223761758241758,259.24178711790535,4.880461662697686,6145.2126624,2026-01-01,2026-01-31
Demo Category 015,Çocuk Jenerik,Demo Campaign 009,1786.148202,145,944,2.853164,7403.10925148,0.1536016949152542,12.318263462068966,0.0196769931034482,626.0236712646031,4.1447340389731,5616.96104948,2026-01-01,2026-01-31
Demo Category 003,Erkek İlk Adım,Demo Campaign 001,377.945101,132,363,4.0,7065.0439996,0.3636363636363636,2.8632204621212125,0.0303030303030303,94.48627525,18.693307522459456,6687.098898599999,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 004,1268.737434,206,4050,2.0,7039.68,0.0508641975308642,6.158919582524272,0.0097087378640776,634.368717,5.548571210518882,5770.942566000001,2026-01-01,2026-01-31
Demo Category 015,Çocuk Jenerik,Demo Campaign 012,585.684104,50,327,3.0,7019.58,0.1529051987767584,11.713682080000002,0.06,195.22803466666667,11.985266378341043,6433.895896,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 006,674.863882,119,524,3.0,6719.64,0.2270992366412213,5.671125058823529,0.0252100840336134,224.9546273333333,9.95703012003834,6044.776118000001,2026-01-01,2026-01-31
Demo Category 017,Mağaza - Brand,Demo Campaign 003,493.702258,269,3181,2.0,6519.66,0.0845646023263124,1.8353243791821563,0.0074349442379182,246.851129,13.205651573098535,6025.957742,2026-01-01,2026-01-31
Demo Category 004,Bebek Jenerik,Demo Campaign 007,1898.089474,506,1802,3.20331,5236.622905913,0.2807991120976693,3.751164968379447,0.006330652173913,592.5400520087035,2.7588914946551144,3338.533431913,2026-01-01,2026-01-31
Demo Category 003,Erkek Çocuk,Demo Campaign 008,1160.613336,216,3687,3.0,4939.5,0.0585842148087876,5.373209888888888,0.0138888888888888,386.871112,4.25593937859077,3778.886664,2026-01-01,2026-01-31
Demo Category 001,İlk Adım Jenerik,Demo Campaign 005,31.842606,6,42,2.0,4879.68,0.1428571428571428,5.307101,0.3333333333333333,15.921303,153.2437389075505,4847.837394,2026-01-01,2026-01-31
Demo Category 014,Jenerik / Kategori,Demo Campaign 009,3015.719955,277,1611,5.0,4799.38,0.1719428926132837,10.887075649819495,0.0180505415162454,603.143991,1.591454137524517,1783.660045,2026-01-01,2026-01-31
Demo Category 003,Erkek Çocuk,Demo Campaign 010,40.85,11,37,3.0,4519.56,0.2972972972972973,3.713636363636364,0.2727272727272727,13.616666666666667,110.6379436964504,4478.709999999999,2026-01-01,2026-01-31
Demo Category 003,Erkek Bebek,Demo Campaign 008,364.25156,78,1229,2.0,4519.46,0.0634662327095199,4.669891794871795,0.0256410256410256,182.12578,12.407524074845416,4155.20844,2026-01-01,2026-01-31
Demo Category 015,Çocuk Jenerik,Demo Campaign 006,1516.37691,156,972,1.96943,4044.8187661,0.1604938271604938,9.720364807692308,0.0126245512820512,769.9572515905617,2.667423078936226,2528.4418561,2026-01-01,2026-01-31
Demo Category 014,Jenerik / Kategori,Demo Campaign 010,849.578274,207,670,1.952462,3997.3739008,0.308955223880597,4.104242869565217,0.0094321835748792,435.1317843829995,4.705127265059982,3147.7956268000003,2026-01-01,2026-01-31
Demo Category 007,Ortopedik,Demo Campaign 014,2185.072182,511,3323,2.018441,3883.04250738,0.1537767077941619,4.276070806262231,0.0039499823874755,1082.554398171658,1.777077452803342,1697.9703253800003,2026-01-01,2026-01-31
Demo Category 005,Kız Bebek,Demo Campaign 007,752.243082,191,551,2.13115,3460.0197384000003,0.3466424682395644,3.938445455497382,0.0111578534031413,352.97519273631605,4.599603268136137,2707.7766564000003,2026-01-01,2026-01-31
Demo Category 003,Erkek Çocuk,Demo Campaign 006,1725.662851,244,920,2.136134,3018.485577852,0.2652173913043478,7.072388733606558,0.0087546475409836,807.8439138181405,1.7491745714424027,1292.822726852,2026-01-01,2026-01-31
Demo Category 004,Bebek Jenerik,Demo Campaign 004,803.252056,102,2119,1.0,2733.03,0.048135913166588,7.875020156862745,0.0098039215686274,803.252056,3.4024562770618045,1929.777944,2026-01-01,2026-01-31
Demo Category 006,Trendyol,Demo Campaign 013,11.640858,6,50,1.0,2431.75,0.12,1.940143,0.1666666666666666,11.640858,208.89783210137944,2420.109142,2026-01-01,2026-01-31
Demo Category 010,CI,Demo Campaign 017,3562.737327,2233,494942,1.0,2142.6,0.0045116397476876,1.5954936529332735,0.0004478280340349,3562.737327,0.6013915153840922,-1420.137327,2026-01-01,2026-01-31
Demo Category 003,Erkek Çocuk,Demo Campaign 004,1094.974667,151,3844,2.117886,2129.86193824,0.0392819979188345,7.251487860927152,0.0140257350993377,517.0130342237495,1.945124396416744,1034.8872712400002,2026-01-01,2026-01-31
Demo Category 015,Çocuk Jenerik,Demo Campaign 005,192.809316,41,874,1.0,1829.82,0.0469107551487414,4.702666243902439,0.024390243902439,192.809316,9.49030906784608,1637.010684,2026-01-01,2026-01-31
Demo Category 003,Erkek Bebek,Demo Campaign 006,272.063073,21,89,0.238846,351.06301618,0.2359550561797752,12.955384428571428,0.011373619047619,1139.0731810455272,1.290373633984499,78.99994318,2026-01-01,2026-01-31
Demo Category 003,Erkek Bebek,Demo Campaign 004,278.628011,49,938,0.0,0.0,0.0522388059701492,5.686285938775511,0.0,0.0,0.0,-278.628011,2026-01-01,2026-01-31
Demo Category 003,Erkek Bebek,Demo Campaign 011,1.87,1,15,0.0,0.0,0.0666666666666666,1.87,0.0,0.0,0.0,-1.87,2026-01-01,2026-01-31
Demo Category 003,Erkek Bebek,Demo Campaign 005,38.386362,7,46,0.0,0.0,0.1521739130434782,5.483766,0.0,0.0,0.0,-38.386362,2026-01-01,2026-01-31
Demo Category 003,Erkek Bebek,Demo Campaign 012,84.976769,13,49,0.0,0.0,0.2653061224489796,6.536674538461539,0.0,0.0,0.0,-84.976769,2026-01-01,2026-01-31
Demo Category 024,Boyner,Demo Campaign 013,0.0,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 010,CI,Demo Campaign 020,2163.175318,257,93419,0.0,0.0,0.0027510463610186,8.417024583657588,0.0,0.0,0.0,-2163.175318,2026-01-01,2026-01-31
Demo Category 003,Erkek Bebek,Demo Campaign 007,590.530159,145,364,0.0,0.0,0.3983516483516483,4.072621786206897,0.0,0.0,0.0,-590.530159,2026-01-01,2026-01-31
Demo Category 028,4 Yaş Ayakkabı,Demo Campaign 016,0.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 019,3 Yaş Ayakkabı,Demo Campaign 016,0.0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 026,6 Yaş Ayakkabı,Demo Campaign 016,0.0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 025,5 Yaş Ayakkabı,Demo Campaign 016,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 020,2 Yaş Ayakkabı,Demo Campaign 016,0.0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 018,1 yaş ayakkabı,Demo Campaign 016,36.459082,26,311,0.0,0.0,0.0836012861736334,1.4022723846153846,0.0,0.0,0.0,-36.459082,2026-01-01,2026-01-31
Demo Category 027,7 Yaş Ayakkabı,Demo Campaign 016,0.0,0,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 009,8 Yaş Ayakkabı,Demo Campaign 016,0.0,0,188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 004,Bebek Jenerik,Demo Campaign 011,10.8,7,43,0.0,0.0,0.1627906976744186,1.542857142857143,0.0,0.0,0.0,-10.8,2026-01-01,2026-01-31
Demo Category 004,Bebek İlk Adım,Demo Campaign 001,260.291004,85,242,0.0,0.0,0.3512396694214876,3.062247105882353,0.0,0.0,0.0,-260.291004,2026-01-01,2026-01-31
Demo Category 023,Anatomik,Demo Campaign 014,1738.240841,369,3599,0.0,0.0,0.1025284801333703,4.71067978590786,0.0,0.0,0.0,-1738.240841,2026-01-01,2026-01-31
Demo Category 022,9 Yaş Ayakkabı,Demo Campaign 016,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 023,Anatomik İlk Adım,Demo Campaign 002,73.94,15,183,0.0,0.0,0.081967213114754,4.929333333333333,0.0,0.0,0.0,-73.94,2026-01-01,2026-01-31
Demo Category 004,Bebek Jenerik,Demo Campaign 012,125.659728,13,56,0.0,0.0,0.2321428571428571,9.666132923076924,0.0,0.0,0.0,-125.659728,2026-01-01,2026-01-31
Demo Category 004,Bebek Jenerik,Demo Campaign 006,354.131149,29,159,0.0,0.0,0.1823899371069182,12.211418931034483,0.0,0.0,0.0,-354.131149,2026-01-01,2026-01-31
Demo Category 004,Bebek Jenerik,Demo Campaign 005,313.200334,74,1511,0.0,0.0,0.0489741892786234,4.232436945945946,0.0,0.0,0.0,-313.200334,2026-01-01,2026-01-31
Demo Category 003,Erkek Çocuk,Demo Campaign 012,357.957897,57,238,0.0,0.0,0.2394957983193277,6.279963105263158,0.0,0.0,0.0,-357.957897,2026-01-01,2026-01-31
Demo Category 005,Kız Bebek,Demo Campaign 005,14.567498,3,18,0.0,0.0,0.1666666666666666,4.855832666666667,0.0,0.0,0.0,-14.567498,2026-01-01,2026-01-31
Demo Category 005,Kız Bebek,Demo Campaign 011,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 005,Kız Bebek,Demo Campaign 004,215.10266,38,729,0.0,0.0,0.0521262002743484,5.660596315789474,0.0,0.0,0.0,-215.10266,2026-01-01,2026-01-31
Demo Category 014,Jenerik / Kategori,Demo Campaign 005,143.8,31,1012,0.0,0.0,0.0306324110671936,4.638709677419355,0.0,0.0,0.0,-143.8,2026-01-01,2026-01-31
Demo Category 005,Kız Bebek,Demo Campaign 012,47.43,10,32,0.0,0.0,0.3125,4.743,0.0,0.0,0.0,-47.43,2026-01-01,2026-01-31
Demo Category 005,Kız Bebek,Demo Campaign 006,102.106812,26,90,0.0,0.0,0.2888888888888888,3.927185076923077,0.0,0.0,0.0,-102.106812,2026-01-01,2026-01-31
Demo Category 005,Kız Bebek,Demo Campaign 008,554.195127,124,1863,0.0,0.0,0.0665593129361245,4.46931554032258,0.0,0.0,0.0,-554.195127,2026-01-01,2026-01-31
Demo Category 003,Erkek İlk Adım,Demo Campaign 002,91.929841,18,129,0.0,0.0,0.1395348837209302,5.107213388888889,0.0,0.0,0.0,-91.929841,2026-01-01,2026-01-31
Demo Category 003,Erkek Çocuk,Demo Campaign 011,3.98,2,4,0.0,0.0,0.5,1.99,0.0,0.0,0.0,-3.98,2026-01-01,2026-01-31
Demo Category 003,Erkek Çocuk,Demo Campaign 005,19.22,2,107,0.0,0.0,0.0186915887850467,9.61,0.0,0.0,0.0,-19.22,2026-01-01,2026-01-31
Demo Category 021,Flo,Demo Campaign 013,10.38,6,70,0.0,0.0,0.0857142857142857,1.7299999999999998,0.0,0.0,0.0,-10.38,2026-01-01,2026-01-31
Demo Category 012,Interest,Demo Campaign 020,3194.860116,395,135934,0.0,0.0,0.0029058219430017,8.088253458227848,0.0,0.0,0.0,-3194.860116,2026-01-01,2026-01-31
Demo Category 030,Hepsiburada,Demo Campaign 013,0.0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 014,Jenerik / Kategori,Demo Campaign 012,1481.858471,177,826,0.0,0.0,0.2142857142857142,8.372081757062148,0.0,0.0,0.0,-1481.858471,2026-01-01,2026-01-31
Demo Category 012,Interest,Demo Campaign 019,3606.477137,1502,82859,0.0,0.0,0.0181271799080365,2.40111660252996,0.0,0.0,0.0,-3606.477137,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 012,271.406688,52,248,0.0,0.0,0.2096774193548387,5.219359384615384,0.0,0.0,0.0,-271.406688,2026-01-01,2026-01-31
Demo Category 032,n11,Demo Campaign 013,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 031,Phrase Match,Demo Campaign 003,157.951725,83,1210,0.0,0.0,0.068595041322314,1.903032831325301,0.0,0.0,0.0,-157.951725,2026-01-01,2026-01-31
Demo Category 011,Topic,Demo Campaign 018,3533.02817,3838,255137,0.0,0.0,0.0150428985211866,0.920538866597186,0.0,0.0,0.0,-3533.02817,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 011,0.0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 005,Kız İlk Adım,Demo Campaign 001,81.02,27,108,0.0,0.0,0.25,3.0007407407407407,0.0,0.0,0.0,-81.02,2026-01-01,2026-01-31
Demo Category 005,Kız İlk Adım,Demo Campaign 002,83.165458,17,174,0.0,0.0,0.0977011494252873,4.892085764705882,0.0,0.0,0.0,-83.165458,2026-01-01,2026-01-31
Demo Category 029,Numaralı,Demo Campaign 011,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 005,Kız Çocuk,Demo Campaign 005,31.130000000000003,5,59,0.0,0.0,0.0847457627118644,6.226000000000001,0.0,0.0,0.0,-31.130000000000003,2026-01-01,2026-01-31
Demo Category 008,Okul Ayakkabısı,Demo Campaign 015,692.070735,80,1397,0.0,0.0,0.0572655690765927,8.6508841875,0.0,0.0,0.0,-692.070735,2026-01-01,2026-01-31
Demo Category 015,Çocuk Jenerik,Demo Campaign 011,0.0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 001,İlk Adım Jenerik,Demo Campaign 012,6.62,2,15,0.0,0.0,0.1333333333333333,3.31,0.0,0.0,0.0,-6.62,2026-01-01,2026-01-31
Demo Category 001,İlk Adım Jenerik,Demo Campaign 010,31.848058,6,15,0.0,0.0,0.4,5.308009666666667,0.0,0.0,0.0,-31.848058,2026-01-01,2026-01-31
Demo Category 001,İlk Adım Jenerik,Demo Campaign 006,166.023228,10,46,0.0,0.0,0.217391304347826,16.6023228,0.0,0.0,0.0,-166.023228,2026-01-01,2026-01-31
Demo Category 001,İlk Adım Jenerik,Demo Campaign 011,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01,2026-01-31
Demo Category 001,İlk Adım Jenerik,Demo Campaign 004,256.084667,44,508,0.0,0.0,0.0866141732283464,5.820106068181818,0.0,0.0,0.0,-256.084667,2026-01-01,2026-01-31
